branch_id,country,state,city,latitude,longitude,population_density,median_income_myr,competitor_count,mall_density_index,office_density_index,tourism_score,halal_certified_area,location_score
MY-00001,Malaysia,Various,Kuala Lumpur,3.1464507122951684,101.68482603548243,10191,7772,25,1.0460652415485279,1.201975341512912,23.775434790932966,1,59.072475763308574
MY-00002,Malaysia,Various,Kuala Lumpur,3.130286827989647,101.67902245289233,11420,5184,62,2.336647510712832,2.4437525838895207,38.929894112872724,1,29.06710094238272
MY-00003,Malaysia,Various,Kuala Lumpur,3.1253796388671815,101.66571544447997,5189,6734,66,1.1988582375542591,2.814054972861252,58.50694697603276,0,59.49041537359349
MY-00004,Malaysia,Various,Kuala Lumpur,3.129996192248411,101.70111159731569,7612,5363,64,0.9271338219567259,2.728296095500716,22.235253872489196,1,36.8206988040011
MY-00005,Malaysia,Various,Kuala Lumpur,3.12002321329116,101.70327988396537,8843,5500,67,3.447996711082495,2.5238936001639454,45.684765340117934,1,67.27267973066736
MY-00006,Malaysia,Various,Kuala Lumpur,3.1501878931273812,101.65935125141023,14467,5016,66,1.6386561576714251,2.249047803602669,37.63768706530323,1,43.1889662350833
MY-00007,Malaysia,Various,Kuala Lumpur,3.144154274343527,101.66045439766955,12208,6062,49,0.7609272528791979,4.940991214702327,70.19591000428272,0,20.358937613034158
MY-00008,Malaysia,Various,Kuala Lumpur,3.147731841920695,101.7002162268939,10892,7561,45,3.702358864403233,4.325173600054097,49.21429381898322,0,44.10318639288731
MY-00009,Malaysia,Various,Kuala Lumpur,3.157182585131997,101.70540245206814,7731,6773,39,2.1527522380668227,1.0381741067223578,66.36091116949467,1,56.483017842017254
MY-00010,Malaysia,Various,Kuala Lumpur,3.1384626094133505,101.71036965483721,9488,4206,19,0.8881178728414096,2.4770142583959656,33.111748151800754,1,50.89906450683726
MY-00011,Malaysia,Various,Kuala Lumpur,3.1659142126451285,101.69561034312595,12574,5678,47,1.2107142865716929,4.7428410675109145,58.92625532175484,1,77.23040953599175
MY-00012,Malaysia,Various,Kuala Lumpur,3.116995481722307,101.70028944207259,7693,8891,32,1.2645415302589176,2.374294765416648,77.41321682972644,1,27.93571705554377
MY-00013,Malaysia,Various,Kuala Lumpur,3.149861248772888,101.68306353044561,6306,8029,7,0.5243324568591674,2.798362861599046,47.131715204670634,0,27.79124887668938
MY-00014,Malaysia,Various,Kuala Lumpur,3.1457940448980026,101.68440908637473,6495,7304,56,1.772703608327529,4.873019372244323,82.55907417123723,0,52.321152883005055
MY-00015,Malaysia,Various,Kuala Lumpur,3.1229120224834648,101.67201120730894,5698,6160,6,2.259376581301015,0.731654380624952,38.11202017537974,1,35.571522893353205
MY-00016,Malaysia,Various,Kuala Lumpur,3.1384793234544213,101.6693698294357,10791,5733,36,2.574438533577877,0.8638399684972187,44.02753964399129,0,72.20408416469323
MY-00017,Malaysia,Various,Kuala Lumpur,3.1443423974558407,101.68657178688491,12125,5930,20,3.423558734562333,1.9435102923728111,32.12370317599053,0,58.40804130723572
MY-00018,Malaysia,Various,Kuala Lumpur,3.1157400485340077,101.68792844462209,7911,5734,56,3.791831425713614,2.2890740948938504,53.65383778428621,1,63.91985760755325
MY-00019,Malaysia,Various,Kuala Lumpur,3.126436279123553,101.69705779098372,10534,8061,46,1.4027956970030446,3.4699282071538056,73.11944301307904,1,54.42728759314042
